,STD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
1,8,C,C,B,D,D,A,C,D,B,A,C,B,D,A,A,D,C,A,D,C,B,B,A,D,D,B,C,D,C,C,B,D,C,D,A,C,B,D,C,A,A,C,A,A,C,B,C,C,A,A,D,C,D,C,B,D,A,C,D,D,D,C,A,C,A,B,B,B,A,C,A,C,B,C,D,A,A,C,B,D
2,9,B,C,B,B,D,C,A,D,B,A,C,C,A,D,A,B,C,D,A,D,B,C,B,B,C,A,A,B,C,A,B,B,A,B,C,C,A,D,B,C,C,A,A,A,D,C,A,C,A,A,D,C,D,C,B,D,A,C,D,D,C,D,C,A,A,D,A,D,A,A,A,D,C,D,A,B,B,A,A,G
3,10,D,C,B,B,C,A,C,C,B,A,C,C,B,A,A,D,B,C,B,D,A,C,A,C,D,C,A,C,B,A,A,C,A,G,D,D,C,A,C,B,D,C,A,A,D,C,A,A,A,B,D,C,B,A,A,B,A,A,D,D,B,C,B,G,D,D,A,D,C,A,B,C,D,B,B,A,D,C,B,D
4,11M,G,A,B,B,B,D,G,C,C,B,A,D,B,B,C,B,D,A,B,G,A,D,A,B,C,B,C,D,A,B,C,C,D,G,G,C,A,A,A,C,A,D,G,C,A,B,B,B,B,C,A,A,D,B,B,C,B,A,D,B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5,11B,G,A,B,B,B,D,G,C,C,B,A,D,B,B,C,B,D,A,B,G,A,D,A,B,C,B,C,D,A,B,C,C,D,G,G,C,A,A,A,C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,C,B,D,D,A,C,D,B,B,A,C,C,D,A,D,B,B,D,A,B
6,12M,B,C,C,A,C,D,B,D,A,D,C,A,A,B,C,C,C,A,A,A,G,C,B,A,D,A,D,C,A,D,B,A,C,D,G,A,A,C,B,A,B,A,A,D,A,A,A,B,A,C,D,C,B,B,C,D,A,A,B,C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7,12B,B,C,C,A,C,D,B,D,A,D,C,A,A,B,C,C,C,A,A,A,G,C,B,A,D,A,D,C,A,D,B,A,C,D,G,A,A,C,B,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,C,A,D,A,A,C,B,A,C,B,A,C,B,A,A,A,D,D,D,B
